1,12352145,Marius,Bota,25,0745214525
2,25458785,Ana,Maria,35,0154887785
3,32545854,Ion,Popescu,45,0111245688
4,32512134,Laura,Moranda,22,0158887785
5,25454566,Daniel,Stan,35,01548877855
6,25546588,Alin,Margaritescu,75,0154521357
7,68688785,Victor,Alexe,18,0153325554
8,78956463,Sergiu,Dumbrava,46,0154587825
9,25456876,Paun,ALexandru,34,0152222222
10,28765432,Mara,Ion,29,0125245785
11,54354323,Claudia,Gheorghe,33,1112288778
12,25222455,George,Ana,38,0154365222
13,28899555,Vlad,Ionescu,22,0145221545
14,25887884,Ilie,Dej,27,0153336589
15,99988555,Boc,Marius,31,0145785285
16,22121222,Rares,Alin,30,0158887745
17,77554455,Luca,Andrei,26,0154521487
18,12345678,Vasile,Claudiu,42,014525985
19,77885545,Ionut,Bota,41,0154887896
20,33355223,Viorel,Gheorghe,56,0154887787
